type,title,director,cast,country,rating,listed_in,release_year,day,month,year,kcluster
movie,dick johnson is dead,kirsten johnson,dick johnson is dead,united states,pg-13,documentaries,2020,25,9,2021,4
tv show,kota factory,saurabh khannaarunabh kumar,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,tv-ma,"international tv shows, romantic tv shows, tv comedies",2021,24,9,2021,4
movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",tv-ma,"dramas, independent movies, international movies",1993,24,9,2021,0
tv show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,tv-14,"british tv shows, reality tv",2021,24,9,2021,4
movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,pg-13,"comedies, dramas",2021,24,9,2021,4
movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanovic, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",tv-ma,"dramas, international movies",2021,23,9,2021,4
tv show,dear white people,justin simien,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,tv-ma,"tv comedies, tv dramas",2021,22,9,2021,4
tv show,falsa identidad,perla farías,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,tv-ma,"crime tv shows, spanish-language tv shows, tv dramas",2020,22,9,2021,4
tv show,resurrection: ertugrul,mehmet bozdag,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan tasaner, esra bilgiç, osman soykut, serdar deniz, cengiz coskun, reshad strik, hande subasi",turkey,tv-14,"international tv shows, tv action & adventure, tv dramas",2018,22,9,2021,4
movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,tv-14,"comedies, international movies, romantic movies",1998,21,9,2021,1
movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,pg-13,comedies,2010,20,9,2021,3
movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,pg-13,"horror movies, sci-fi & fantasy",2013,19,9,2021,3
movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",pg-13,thrillers,2013,19,9,2021,3
tv show,angry birds,jaakko iisalo,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",finland,tv-y7,"kids' tv, tv comedies",2018,16,9,2021,3
movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",pg-13,"action & adventure, dramas",2017,16,9,2021,3
tv show,chhota bheem,rajiv chilakabinayak das,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,tv-y7,kids' tv,2021,16,9,2021,3
